evidence_id,stage,research_axis,question,comparison,native_metric,frozen_value,direction_of_effect,population,split,learner,seed_scope,target_scope,support,uncertainty_type,source_artifact,source_config,canonical_code,original_source,equivalence_id,reproducibility_class,evidence_status,residual_limitation,allowed_interpretation,prohibited_interpretation
"E29-001","Stage01","benchmark/reference validity","Was the reference split validation-safe?","train vs validation vs holdout","row counts and class counts","train=192593 (115200 benign;77393 attack); validation=48149 (28800;19349); holdout=60186 (36000;24186)","fixed disjoint reference memberships","processed CSE-CIC-IDS2018 binary table","stratified 64/16/20","none","42","processed reference dataset","300928 total rows","none","docs/RESULTS_SUMMARY.md","configs/stage01/protocol.json","src/ids_validation/stages/stage01/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cell93","EQ003;EQ004;EQ005","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","HISTORICAL_CONTEXT","raw processed dataset is external and split was not recomputed","The early benchmark used a frozen disjoint split","The split establishes temporal or deployment validity"
"E29-002","Stage02","benchmark/reference validity","How strong was the conventional baseline?","sixteen baseline candidates","validation F1","best tree-ensemble baseline led to the Stage03 XGBoost/LightGBM focus","tree ensembles selected for later tuning","processed IDS2018 validation membership","frozen validation","multiple","42","validation only","16 candidate configurations","none","metadata/baseline_model_configurations.json","configs/stage02/protocol.json","src/ids_validation/stages/stage02/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells94-95","EQ006;EQ007;EQ008","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","HISTORICAL_CONTEXT","baseline fitting is not rerun and serialized coverage is incomplete","The model chronology began with a broad conventional baseline","All baseline candidates are reproducible end to end"
"E29-003","Stage03","benchmark/reference validity","Did validation-only tuning improve XGBoost?","baseline vs tuned XGBoost","validation F1 and FPR","F1 0.925288775482207 to 0.9269482744442312; FPR 0.0081944444444444 to 0.0077777777777777","small validation improvement","processed IDS2018 validation membership","frozen validation","XGBoost","42","validation only","48149 rows","none","docs/RESULTS_SUMMARY.md","configs/stage03/protocol.json","src/ids_validation/stages/stage03/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells96-101","EQ009;EQ010","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","HISTORICAL_CONTEXT","HPO was not rerun and external data are unavailable","Validation-only tuning produced a small frozen improvement","Tuning proves generalization"
"E29-004","Stage04","benchmark/reference validity","What balanced operating point was selected?","validation threshold grid","threshold; F1; FPR","XGBoost threshold=0.51; F1=0.9270781893004115; FPR=0.007118055555555555","balanced objective selected 0.51","processed IDS2018 validation membership","frozen validation","XGBoost","42","validation only","48149 rows","none","docs/RESULTS_SUMMARY.md","configs/stage04/protocol.json","src/ids_validation/stages/stage04/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells102-104","EQ011;EQ012","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","HISTORICAL_CONTEXT","threshold sweep is closed and not rerun","The balanced operating point was validation selected","The threshold transfers to other populations"
"E29-005","Stage04","benchmark/reference validity","What security operating point was selected?","validation threshold grid under FPR constraint","threshold; F2; FPR","LightGBM threshold=0.26; F2=0.9080189904320635; FPR=0.04798611111111111","security objective selected 0.26 under 5% validation FPR","processed IDS2018 validation membership","frozen validation","LightGBM","42","validation only","48149 rows","none","docs/RESULTS_SUMMARY.md","configs/stage04/protocol.json","src/ids_validation/stages/stage04/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cell106","EQ013","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","HISTORICAL_CONTEXT","constraint applies only to the reference validation population","The frozen security point met the reference validation constraint","It guarantees at most 5% FPR in deployment"
"E29-006","Stage05","benchmark/reference validity","How did the balanced point perform on the original holdout?","balanced XGBoost on frozen holdout","F1; FPR; ROC-AUC; PR-AUC","0.9285008671218141;0.006083333333333333;0.9801912125472036;0.9776433333080397","strong conventional benchmark result","processed IDS2018 holdout","frozen stratified holdout","XGBoost","42","original holdout","60186 rows","none","docs/RESULTS_SUMMARY.md","configs/stage05/protocol.json","src/ids_validation/stages/stage05/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cell105","EQ014","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","PRIMARY","holdout is closed; processed and rebalanced reference condition is not a deployment population","Conventional evaluation produced high within-dataset discrimination","This demonstrates temporal cross-dataset or zero-day generalization"
"E29-007","Stage05","benchmark/reference validity","How did the security point perform on the original holdout?","security LightGBM on frozen holdout","F1; F2; FPR; FN; ROC-AUC; PR-AUC","0.9177721052851823;0.9111605955862803;0.04655555555555556;2254;0.9802072525887335;0.9776909621341594","higher-recall operating point with greater FPR","processed IDS2018 holdout","frozen stratified holdout","LightGBM","42","original holdout","60186 rows","none","docs/RESULTS_SUMMARY.md","configs/stage05/protocol.json","src/ids_validation/stages/stage05/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cell107","EQ015","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","SUPPORTING","single processed-dataset holdout and frozen operating point","The security point quantifies the reference recall/FPR trade-off","It guarantees operational superiority"
"E29-008","Stage06","shortcut-feature sensitivity","Were global importance rankings similar across tree learners?","XGBoost vs LightGBM TreeSHAP","top20 overlap; Jaccard; Spearman","15;0.6;0.854066","substantial but incomplete ranking agreement","5000 shared training-background rows","training sample","XGBoost;LightGBM","42","model explanations","5000 rows","none","docs/RESULTS_SUMMARY.md","configs/stage06/protocol.json","src/ids_validation/stages/stage06/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cell108","EQ018;EQ019;EQ020","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","DESCRIPTIVE","historical SHAP matrices and exact model dependencies are incomplete","The two learners shared many high-ranked features","Feature ranking proves causal mechanisms"
"E29-009","Stage08","seed/model-realization stability","Was the balanced learner difference resolved?","XGBoost minus LightGBM balanced","F1 difference and 95% paired bootstrap CI","0.000185061470508896;[-0.0004952955263602676;0.0008619090916325816]","unresolved","original IDS2018 holdout","frozen holdout","XGBoost;LightGBM","42","balanced points","60186 rows","paired class-stratified bootstrap; historical 2000 replicates","docs/STATISTICAL_CONFIDENCE.md","configs/stage08/protocol.json","src/ids_validation/stages/stage08/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells116-117","EQ023;EQ024;EQ025","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","NEGATIVE_RESULT","interval is conditional on one frozen holdout and historical bootstrap arrays","No balanced learner winner was statistically resolved","The learners are equivalent everywhere"
"E29-010","Stage08","seed/model-realization stability","Did the security LightGBM point miss fewer attacks?","XGBoost minus LightGBM security","recall difference CI; FN difference CI","recall=-0.0013644257008186278 [-0.002646158934921039;-0.00008269246671632757]; FN=33 [2;64]","LightGBM security favored","original IDS2018 holdout","frozen holdout","XGBoost;LightGBM","42","security points","60186 rows","paired class-stratified bootstrap; historical 2000 replicates","docs/STATISTICAL_CONFIDENCE.md","configs/stage08/protocol.json","src/ids_validation/stages/stage08/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells116-117","EQ026","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","CONDITIONAL","CI is conditional on the frozen sample and bootstrap implementation","LightGBM security missed fewer attacks in the frozen holdout","LightGBM is universally superior"
"E29-011","Stage09","benchmark/reference validity","Was either final learner better calibrated?","XGBoost vs LightGBM","Brier score and paired difference intervals","0.04277372026730192 vs 0.04275382352223183; all paired calibration-difference CIs include zero","no resolved calibration winner","original IDS2018 holdout","frozen holdout","XGBoost;LightGBM","42","probability calibration","60186 rows","paired historical bootstrap intervals","docs/CALIBRATION_ASSESSMENT.md","configs/stage09/protocol.json","src/ids_validation/stages/stage09/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cell118","EQ027;EQ028;EQ029","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","NEGATIVE_RESULT","calibration assessed without recalibration on one holdout","Both models were reasonably calibrated and no winner was resolved","The models remain calibrated under prior shift"
"E29-012","Stage10","prevalence/operational validity","When does the LightGBM security point become preferable to its balanced point?","security vs balanced under relative FN:FP cost","break-even FN:FP ratio and 95% CI","1.8407079646017699;[1.6987043925893093;1.9973514290693621]","security favored above frozen break-even","original IDS2018 holdout","frozen holdout","LightGBM","42","operating points","60186 rows","historical paired bootstrap CI","docs/OPERATIONAL_COST_ANALYSIS.md","configs/stage10/protocol.json","src/ids_validation/stages/stage10/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells119-120","EQ031;EQ032;EQ033","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","CONDITIONAL","relative costs are hypothetical; low thresholds produced FPR above 40%","Operating-point preference depends on explicit relative costs","One operating point is operationally best in all SOCs"
"E29-013","Stage11","unseen-family validity","Were all attack-category results equally supported?","per-category detection at frozen points","support and detection rate","Infilteration support=3967; LightGBM security detection=0.4383665238215276; SQL Injection support=13","large heterogeneity and fragile rare-category claims","original IDS2018 attack holdout","frozen holdout","XGBoost;LightGBM","42","12 known attack categories","24186 attack rows","BH-adjusted category comparisons plus descriptive rates","docs/ATTACK_CATEGORY_ANALYSIS.md","configs/stage11/protocol.json","src/ids_validation/stages/stage11/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells121-122","EQ035;EQ036","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","LOW_SUPPORT","some categories have very small support and are not unseen-family tests","Performance varies by known category; rare-category conclusions are fragile","Known-category results establish zero-day detection"
"E29-014","Stage12","seed/model-realization stability","Were learner choices stable across fixed seeds?","XGBoost vs LightGBM by objective","winner frequency","balanced XGBoost=3/5; balanced LightGBM=2/5; security LightGBM=4/5; security XGBoost=1/5","objective-dependent learner preference","processed IDS2018 repeated split/evaluation","five frozen seeds","XGBoost;LightGBM","42;52;62;72;82","balanced and security objectives","5 seeds","descriptive fixed-seed frequencies","docs/MULTISEED_ROBUSTNESS.md","configs/stage12/protocol.json","src/ids_validation/stages/stage12/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells123-125","EQ037;EQ038;EQ039","PARTIALLY_REPRODUCIBLE_STATIC_SCIENTIFIC_EVIDENCE","SENSITIVITY","hyperparameter search was not repeated per seed","Learner preference varied with objective and realization","Winner frequency is a population probability"
